"word","pronounciation","meaning","source","source2","note","gematria"
"ACURTOH",,"God is triumphant","WE","Liber Loagaeth",,
"ACZINOR",,"Senior JUP of EARTH","WE",,,
"AD",,"in the third, with the third","WE","Liber Loagaeth",,
"ADAMH",,"with hosts of the Lord (stars)","WE","Liber Loagaeth",,
"ADAO",,"in [or] with the third star","WE","Liber Loagaeth",,
"ADAPH",,"Unto (or From) the Lord of Hosts","WE","Liber Loagaeth",,
"ADE",,"in the third is the Daughter of Light","WE","Liber Loagaeth",,
"ADEPH",,"Unto (or From) the Lord of Hosts","WE","Liber Loagaeth",,
"ADEPOAD",,"Within the 3 rd Heaven","WE","Liber Loagaeth",,
"ADGMACH",,"much glory","WE",,,
"ADGT",,"can","WE",,,
"ADIN",,"the Sun of God from the divine","WE","Liber Loagaeth",,
"ADIPR",,"the Sun of God from the 3 rd","WE","Liber Loagaeth",,
"ADIRE",,"Servient Angel FIRE OF FIRE","WE",,,
"ADLPH",,"among the first to give","WE","Liber Loagaeth",,
"ADMA",,"possess the third","WE","Liber Loagaeth",,
"ADMO",,"God is man","WE","Mistake","This word was found accidentally by misconstruing the word DAMO to ADMO. It is not found in Liber Loagaeth.",
"ADNA","ah-deh-nah","obedience","EMPM",,,66
"ADNA",,"obedience","WE",,,
"ADOEOET",,"Senior JUPITER of FIRE","WE",,,
"ADOIAN",,"face, the face","WE",,,
"ADON",,"the face (of God)","WE","Liber Loagaeth",,
"ADOPA",,"Kerubic Archangel AIR OF FIRE","WE",,,
"ADPHAHT","ah-deh-peh-ah-teh","unspeakable","EMPM",,,30
"ADPHAHT","ah-deh-peh-ah-teh","unspeakable","EMPM",,,36
"ADPHAHT",,"unspeakable","WE",,,
"ADPUN",,"With strong fire","WE","Liber Loagaeth",,
"ADRA",,"involutes","WE","Liber Loagaeth",,
"ADRAMAN",,"NAME OF AN EVIL SPIRIT","WE",,,
"ADRE",,"Servient Angel FIRE OF FIRE","WE",,,
"ADROCH",,"mount, in the olive mount","WE",,,
"ADRPAN",,"cast down","WE",,,
"ADRPHT",,"casting down (crowley)","WE",,,
"ADVORPT",,"PART IN TEX","WE",,,
"AETPIO",,"Senior MARS of FIRE TABLET","WE",,,
"AF",,"19","WE",,,
"AFFA","ah-ef-fah","empty","EMPM",,,18
"AFFA",,"empty","WE",,,
"AFLAFBEN",,"DEE'S GOOD ANGEL","WE",,,
"AG","ah-geh","no","EMPM",,,14
"AG",,"no, none","WE",,,
"AGAN",,"not the Son of Son of Light","WE","Liber Loagaeth",,
"AGEFF",,"the Trinity (3) manifests","WE","Liber Loagaeth",,
"AGEMATOM",,"the Trinity (3) echoes from the 4 th","WE","Liber Loagaeth",,
"AGES",,"not the 4th","WE","Liber Loagaeth",,
"AGGS",,"the Magus","WE","Liber Loagaeth",,
"AGIOD",,"mortal","WE","Liber Loagaeth",,
"AGO",,"not the fifth","WE","Liber Loagaeth",,
"AH",,"inner/higher self","WE","Liber Loagaeth",,
"AHAH",,"inmost God","WE","Liber Loagaeth",,
"AHAOZPI",,"Senior VENUS of AIR","WE",,,
"AHMLICV",,"Senior MER of EARTH","WE",,,
"AHO",,"in sacred measure","WE","Liber Loagaeth",,
"AIAOAI",,"Sephirotic Cross EARTH OF AIR","WE",,,
"AIDROM",,"Senior MARS of EARTH TABLET","WE",,,
"AIDROPL",,"governor","WE",,,
"AIGRA",,"Servient Angel AIR OF EARTH","WE",,,
"AIRA",,"Servient Angel AIR OF EARTH","WE",,,
"AISRO",,"PROMISE, THE PROMISE","WE",,,
"AKELE","Ah-keh-leh","(name of an angel)","EMPM","pg 25",,
"AKELE",,"DAUGHTER OF LIGHT","WE",,,
"ALA",,"place","WE",,,
"ALAR",,"settled, have settled","WE",,,
"ALCA",,"judgment (?)","WE",,,
"ALDARAIA",,"will of God (?)","WE",,,
"ALDI",,"gathering, of gathering","WE",,,
"ALDON",,"gathered together (they)","WE",,,
"ALDON",,"gird up","WE",,,
"ALDON",,"gather up","WE",,,
"ALGLA",,"invoke the One","WE","Liber Loagaeth",,
"ALHCTGA",,"Senior VEN of EARTH","WE",,,
"ALIDA",,"one in name with","WE","Liber Loagaeth",,
"ALLA",,"ALLA (a name of God; the naming of God’s will)","WE","Liber Loagaeth",,
"ALLAR",,"bind up","WE",,,
"ALNDVOD",,"Senior LUNA of FIRE","WE",,,
"ALOAI",,"Sephirotic Cross FIRE OF AIR","WE",,,
"ALPOD",,"infinite","WE","Liber Loagaeth",,
"ALPUDUS",,"Zodiacal King CANCER","WE",,,
"ALSPLAN",,"among the angels","WE","Liber Loagaeth",,
"AMBRIOL",,"PART IN LOE","WE",,,
"AMCHIH",,"the Son of Light is with the 9","WE","Liber Loagaeth",,
"AMGEDPHA",,"I begin anew","WE",,,
"AMIDAN",,"fixed to the Son of Son of Light-Mercury","WE","Liber Loagaeth",,
"AMIPZI",,"fastened, I fastened","WE",,,
"AMIRAN",,"yourselves","WE",,,
"AMLOX",,"Servient Angel WATER OF FIRE","WE",,,
"AMMA","ah-em-mah","cursed","EMPM",,,192
"AMMA",,"cursed","WE",,,
"AMOX",,"Servient Angel WATER OF FIRE","WE",,,
"AMPHAN",,"bound by the Son of Light","WE","Liber Loagaeth",,
"AMRVH",,"The power and presence of the Lord of Hosts in the angel of the East","WE","Liber Loagaeth",,
"AMUDAS",,"wherefore ye are cursed","WE","Liber Loagaeth",,
"AN",,"SON OF SON OF LIGHT, MERCURY","WE","Holy Table of Practice perimeter",,
"ANAA",,"Kerubic Angel WATER OF FIRE","WE",,,
"ANAEEM",,"Sephirotic Cross WATER OF EARTH","WE",,,
"ANANAEL","ah-nah-nah-el","the Secret Wisdom","EMPM",,,136
"ANANAEL",,"wisdom, of the secret wisdom","WE",,,
"ANBPHO",,"the Son of Son of Light (Mercury) gives the holy pentagram.","WE","Liber Loagaeth",,
"ANDISPI",,"PART IN ZOM","WE",,,
"ANETAB",,"government, in government","WE",,,
"ANGE",,"within the thought [of God]","WE","Liber Loagaeth",,
"ANGELARD",,"thoughts, his thoughts","WE",,,
"ANGPOI",,"Sephirotic Cross AIR OF EARTH","WE",,,
"ANODOIN",,"Senior MERCURY of FIRE","WE",,,
"ANOLPHE",,"the Son of Light","WE","Liber Loagaeth",,
"ANS",,"the Son of Son of Light is the holy pentagram","WE","Liber Loagaeth",,
"AOAYNNL",,"1ST MINISTER OF VENUS","WE",,,
"AOIDIAB",,"6TH MINISTER OF SOL","WE",,,
"AOIVEAE",,"stars, the stars","WE",,,
"AOURRZ",,"Sephirotic Cross FIRE OF AIR","WE",,,
"AOZPI",,"A GOD-NAME OF AIR TABLET","WE",,,
"AP","ah-peh","unchanging, same","EMPM",,,15
"APACHANA",,"SLIMY THINGS MADE OF DUST","WE",,,
"APDOCE",,"Senior VENUS of FIRE TABLET","WE",,,
"APHLAFBEN",,"DEE'S GOOD ANGEL (alt. sp.)","WE",,,
"APHRA",,"Kerubic Archangel WATER OF","WE",,,
"APILA","ah-pee-lah","eternal life, to live forever","EMPM",,,89
"APILA",,"liveth","WE",,,
"APLST",,"Servient Angel AIR OF FIRE","WE",,,
"APOPHRASZ","ah-poh-peh-rah-seh-zod","motion","EMPM",,,171
"APOPHRASZ","ah-poh-peh-rah-seh-zod","motion","EMPM",,,177
"APST",,"Servient Angel AIR OF FIRE","WE",,,
"AR","are","the sun, to prtect","EMPM",,,106
"AR",,"that","WE",,,
"AR",,"to fan or winnow","WE",,,
"ARBIZ",,"Sephirotic Cross EARTH OF EARTH","WE",,,
"ARCHAD",,"spread amongst the third","WE","Liber Loagaeth",,
"ARCHADS",,"spread amongst the third is the Daughter of Light","WE","Liber Loagaeth",,
"ARCHAS",,"the Daughter of Light is spread amongst the third","WE","Liber Loagaeth",,
"ARDEN",,"The Universal Mind","WE","Liber Loagaeth",,
"ARDOX",,"fire of dissolution","WE","Liber Loagaeth",,
"ARDZA",,"Sephirotic Cross AIR OF AIR","WE",,,
"ARFAOLG",,"Zodiacal King TAURUS","WE",,,
"ARGEDCO",,"invoke (?)","WE",,,
"ARGRASPHE",,"the Daughter of Daughter of Light becomes Queen of the Moon","WE","Liber Loagaeth",,
"ARINNAP",,"Senior SATURN of FIRE","WE",,,
"ARISSO",,"the mystical marriage","WE","Liber Loagaeth",,
"ARN",,"SECOND AETHYR","WE",,,
"ARNI",,"the Beast","WE","Liber Loagaeth",,
"ARP",,"conquer (?)","WE",,,
"ARPHE",,"descend","WE",,,
"ARSETH",,"wailing in their places","WE","Liber Loagaeth",,
"ARSL",,"A GOD-NAME OF WATER TABLET","WE",,,
"ARTH",,"gladness, of gladness","WE",,,
"ARVIN",,"God’s glory spread out","WE","Liber Loagaeth",,
"ARXE",,"for the Daughter of Light","WE","Liber Loagaeth",,
"ARZULGE",,"NAME OF EVIL SPIRIT","WE",,,
"AS",,"was","WE",,,
"ASCHA",,"God","WE",,,
"ASCHEDH",,"God receives","WE","Liber Loagaeth",,
"ASCHIN",,"the divine will of the holy Son of Light","WE","Liber Loagaeth",,
"ASCLAD",,"Lucifer was the third","WE","Liber Loagaeth",,
"ASCLEH",,"divine will","WE","Liber Loagaeth",,
"ASCO",,"this God","WE","Liber Loagaeth",,
"ASEV",,"Reflected, ‘was reflected’","WE","Lamen",,
"ASMT",,"Kerubic Angel FIRE OF EARTH","WE",,,
"ASP",,"21ST AETHYR","WE",,,
"ASPAH",,"the infinity within","WE","Liber Loagaeth",,
"ASPIAN",,"QUALITIES, IN THEIR QUALITIES","WE",,,
"ASPIAON",,"PART IN DEO","WE",,,
"ASPT","ah-seh-peh-teh","before, in front of","EMPM",,,25
"ASPT","ah-seh-peh-teh","before, in front of","EMPM",,,31
"ASPT",,"before","WE",,,
"ASTEL",,"meaning unknown","WE",,,
"ASTO",,"was also this","WE","Liber Loagaeth",,
"ASTRAPHOS",,"(was) reflected in the East on the ecliptic","WE","Liber Loagaeth",,
"ASYMP",,"another, with another","WE",,,
"ATAPA",,"Sephirotic Cross FIRE OF WATER","WE",,,
"ATH","ah-teh","works","EMPM",,,10
"ATH","ah-teh","works","EMPM",,,16
"ATH",,"DAUGHTER OF DAUGHTER OF LIGHT","WE",,,
"ATRAAH",,"girdles, your girdles","WE",,,
"AU",,"Shortened name of Ave, Son of Son of Light","WE","Liber Loagaeth",,
"AUDCAL",,"gold, philosophical mercury","WE",,,
"AUDROPL",,"governor","WE",,,
"AVABH",,"hiacynth, of hiacynth","WE",,,
"AVAVAGO",,"thunders of increase","WE",,,
"AVAVAGO",,"thunders, the thunders","WE",,,
"AVAVOX",,"pomp, his pomp","WE",,,
"AVDROPT",,"PART IN TAN","WE",,,
"AVE",,"SON OF SON OF LIGHT, SOL","WE",,,
"AVINY",,"millstones","WE",,,
"AVTOTAR",,"Senior MERCURY of AIR","WE",,,
"AVZNILN",,"2ND MINISTER OF LUNA","WE",,,
"AX",,"surround","WE","Liber Loagaeth",,
"AXA",,"surround the one","WE","Liber Loagaeth",,
"AXE",,"Surrounds the Daughter of Light","WE","Liber Loagaeth",,
"AXIR",,"Servient Angel EARTH OF EARTH","WE",,,
"AXO",,"microcosm","WE","Liber Loagaeth",,
"AXOL",,"the glory of God’s creation","WE","Liber Loagaeth",,
"AXTIR",,"Servient Angel EARTH OF EARTH","WE",,,
"AXZIARG",,"PART IN PAZ","WE",,,
"AZDOBN","Ah-zod-doh-ben","(name of an angel)","EMPM","pg 25",,
"AZDOBN",,"DAUGHTER OF LIGHT","WE",,,
"AZIAGIER",,"harvest, like unto the harvest","WE",,,
"AZIAZIOR",,"likeness, in the likeness","WE",,,
"AZIEN",,"hands, on whose hands","WE",,,
"B",,"Pa (B)","WE",,,
"BAB",,"power, ability, possibility","WE",,,
"BABAGE","bah-bah-geh","South","EMPM",,,40
"BABAGE",,"south, in the south","WE",,,
"BABAGEN",,"south, of the south","WE",,,
"BABALEL",,"angel of mars in mars, king","WE",,,
"BABALON","bah-bah-loh-en","evil, wicked","EMPM",,,110
"BABALON",,"wicked, the wicked","WE",,,
"BABALOND","bah-bah-loh-en-deh","harlot, seductress","EMPM",,,114
"BABALOND",,"harlot, a","WE",,,
"BABALUN",,"BABALON","WE","Holy Table of Practice perimeter",,
"BABAPON",,"6TH MINISTER OF BRORGES","WE",,,
"BABEPEN",,"6TH MINISTER OF SATURN","WE",,,
"BABLIBO",,"ANGEL OF SOL IN LUNA","WE",,,
"BAEOVIB",,"righteousness","WE",,,
"BAEQUIB","bah-eh-oh-u-ee-beh","righteousness","EMPM",,,186
"BAG",,"28TH AETHYR","WE",,,
"BAGENOL",,"ANGEL VENUS IN LUNA, PRINCE","WE",,,
"BAGHIE","bah-geh-hee-eh","fury","EMPM",,,90
"BAGIE",,"fury, of fury","WE",,,
"BAGLE",,"for","WE",,,
"BAGLE",,"for why?","WE",,,
"BAGLE",,"because","WE",,,
"BAGLE",,"why?","WE",,,
"BAGLE",,"for","WE",,,
"BAGLE",,"why?","WE",,,
"BAGLE",,"because","WE",,,
"BAGLEN",,"because","WE",,,
"BAGNOLE",,"angel venus in sol","WE",,,
"BAHAL","bah-hall","to shout, to yell, to cry","EMPM",,,26
"BAHAL",,"cry aloud","WE",,,
"BAI",,"stooping, soaring down","WE",,,
"BALCEOR",,"ANGEL SATURN IN JUPITER","WE",,,
"BALDAGO",,"ANGEL JUPITER IN MERCURY","WE",,,
"BALIE","bah-lee-eh","salt","EMPM",,,89
"BALIGON",,"ANGEL VENUS IN VENUS, KING","WE",,,
"BALIT","bah-lee-teh","the just","EMPM",,,82
"BALIT","bah-lee-teh","the just","EMPM",,,88
"BALIT",,"justice, the just","WE",,,
"BALT","ball-teh","justice","EMPM",,,22
"BALT","ball-teh","justice","EMPM",,,28
"BALT",,"justice","WE",,,
"BALT",,"justice, of justice","WE",,,
"BALTAN",,"justice, in his justice","WE",,,
"BALTIM",,"justice, fury or extreme justi","WE",,,
"BALTOH","ball-toh","righteous","EMPM",,,53
"BALTOH","ball-toh","righteous","EMPM",,,59
"BALTOH",,"righteousness, of righteousnes","WE",,,
"BALTOH",,"righteousness, of","WE",,,
"BALTOHA",,"righteousness, for my own","WE",,,
"BALYE",,"salt, of salt","WE",,,
"BALZARG","bal-zodah-rah-geh","stewards","EMPM",,,136
"BALZARG","bal-zodah-rah-geh","stewards","EMPM",,,142
"BALZARG",,"stewards","WE",,,
"BALZIZRAS","bal-zodee-zod-rass","judgement","EMPM",,,198
"BALZIZRAS","bal-zodee-zod-rass","judgement","EMPM",,,210
"BALZIZRAS",,"judgement, the","WE",,,
"BAM",,"forgotten (schuler)","WE",,,
"BAMASAN",,"NAME OF A GUARDIAN ANGEL","WE",,,
"BAMNODE",,"ANGEL SATURN IN LUNA","WE",,,
"BAMS","bah-mess","to forget","EMPM",,,108
"BAMS",,"forget, let them forgetBANAA Kerubic Archangel WATER OF FIRE","WE",,,
"BANSSZE",,"1ST MINISTER OF SATURN","WE",,,
"BANZES",,"generation","WE","Liber Loagaeth",,
"BAPNIDO",,"ANGEL OF MARS IN VENUS","WE",,,
"BAR",,"prince","WE","Holy Table of Practice perimeter",,
"BARCES",,"NAME OF HAGONEL'S SEAL","WE",,,
"BARFORT",,"ANGEL MERCURY IN LUNA","WE",,,
"BARIGES",,"ANGEL OF SOL IN MERCURY","WE",,,
"BARMA",,"NAME OF A DEMON","WE",,,
"BARMAN",,"NAME OF A DEMON","WE",,,
"BARNAFA",,"ANGEL OF SOL IN JUPITER","WE",,,
"BARTIRO",,"ANGEL JUPITER IN SATURN","WE",,,
"BASGIM","bah-seh-gee-em","day","EMPM",,,176
"BASGIM",,"day","WE",,,
"BASLEDF",,"ANGEL LUNA IN VENUS","WE",,,
"BASM","bah-zod-em","noon, midday","EMPM",,,110
"BASMELO",,"ANGEL JUPITER IN SOL","WE",,,
"BASP",,"substantial","WE",,,
"BASP",,"substantial","WE","Holy Table of Practice perimeter",,
"BASPALO",,"ANGEL LUNA IN MERCURY","WE",,,
"BATAIVA",,"KING OF AIR TABLET (VAR)","WE",,,
"BATAIVAH",,"KING OF AIR TABLET","WE",,,
"BATAIVH",,"KING OF AIR TABLET (VAR)","WE",,,
"BAZCHIM",,"PART IN DES","WE",,,
"BAZM","bah-zod-em","noon, midday","EMPM",,,104
"BAZM",,"midday, noon","WE",,,
"BAZME",,"midday, the","WE",,,
"BAZPAMA",,"ANGEL MERCURY IN MARS","WE",,,
"BBAIGAO",,"2ND MINISTER OF JUPITER","WE",,,
"BBALPAE",,"3RD MINISTER OF JUPITER","WE",,,
"BBANIFG",,"4TH MINISTER OF JUPITER","WE",,,
"BBARNFL",,"1ST MINISTER OF JUPITER","WE",,,
"BBASNOD",,"6TH MINISTER OF JUPITER","WE",,,
"BBOSNIA",,"5TH MINISTER OF JUPITER","WE",,,
"BBOSNIA",,"5TH MINISTER OF JUPITER","WE",,,
"BDOPA",,"Kerubic Archangel AIR OF FIRE","WE",,,
"BEFAFES",,"ANGEL OF MARS IN SOL,PRINCE","WE",,,
"BEFES",,"VOCATIVE CASE OF BEFAFES","WE",,,
"BEIGIA",,"SON OF LIGHT, MERCURY OR SATUR","WE",,,
"BELMAGEL",,"KELLY'S EVIL ANGEL","WE",,,
"BELMARA",,"ANGEL LUNA IN JUPITER","WE",,,
"BEN",,"ANGEL WHO APPEARED TO D. & K.","WE",,,
"BENPAGI",,"ANGEL VENUS IN JUPITER","WE",,,
"BERIANU",,"unknown","WE",,,
"BERMALE",,"ANGEL VENUS IN MARS","WE",,,
"BERNOLE",,"ANGEL MERCURY IN SOL","WE",,,
"BESGEME",,"ANGEL JUPITER IN VENUS","WE",,,
"BESZ","bess-zod","matter","EMPM",,,25
"BESZ","bess-zod","matter","EMPM",,,31
"BEVEGJAH",,"Coagula; gathering all, gathering the ALL","WE","Liber Loagaeth",,
"BI","bee","voice","EMPM",,,65
"BIA","bee-ah","voices","EMPM",,,71
"BIA",,"voices, yourBIAB stand","WE",,,
"BIAL",,"VOICE, THE VOICE","WE",,,
"BIEN",,"VOICE, MY VOICE","WE",,,
"BIGLIAD",,"comforter, in our","WE",,,
"BINODAB",,"ANGEL VENUS IN MERCURY","WE",,,
"BINOFON",,"ANGEL OF MARS IN MERCURY","WE",,,
"BITOM","bee-toh-em","fire","EMPM",,,188
"BITOM","bee-toh-em","fire","EMPM",,,194
"BITOM",,"FIRE NAME, TABLET OF UNION","WE",,,
"BLANS",,"harbored, are","WE",,,
"BLBOPOO",,"5TH MINISTER OF SATURN","WE",,,
"BLIAR","beh-lee-ah-rah","comfort, ease","EMPM",,,179
"BLIAR",,"comfort, var. of ""blior""","WE",,,
"BLIARD","beh-lee-ah-rah-deh","to be with comfort","EMPM",,,183
"BLIARD",,"comfort, with","WE",,,
"BLIIGAN",,"ANGEL MERCURY IN SATURN","WE",,,
"BLINGEF",,"ANGEL JUPITER IN LUNA","WE",,,
"BLINTOM",,"ANGEL SATURN IN MARS","WE",,,
"BLIOR",,"comfort, continual comforters","WE",,,
"BLIOR",,"comfort","WE",,,
"BLIORAX",,"comfort, shall comfort","WE",,,
"BLIORB",,"comfort, of comfort","WE",,,
"BLIORS",,"comfort, of","WE",,,
"BLIORS",,"comfort, to our comfort","WE",,,
"BLIORT",,"comfort, of","WE",,,
"BLISDON",,"ANGEL MERCURY IN JUPITER","WE",,,
"BLLOLOL",,"FIFTH MINISTER OF BRORGES","WE",,,
"BLUMAPO",,"ANGEL MERCURY IN VENUS","WE",,,
"BLUMAZA",,"ANGEL LUNA IN LUNA, KING","WE",,,
"BMAMGAL",,"ANGEL SATURN IN VENUS","WE",,,
"BMILGES",,"ANGEL OF MARS IN JUPITER","WE",,,
"BMINPOL",,"ANGEL OF MARS IN SATURN","WE",,,
"BNAMGEN",,"3RD MINISTER OF SATURN","WE",,,
"BNANGEL",,"3RD MINISTER OF BRORGES","WE",,,
"BNAPSEN",,"ANGEL SATURN IN SATURN, KING","WE",,,
"BNASPOL",,"ANGEL MERCURY IN MERCURY, KING","WE",,,
"BNG",,"guardian","WE",,,
"BNG",,"guardian","WE","Holy Table of Practice perimeter",,
"BNVAGES",,"4TH MINISTER OF SATURN","WE",,,
"BNVIGER",,"4TH MINISTER OF BRORGES","WE",,,
"BOBOGEL",,"ANGEL OF SOL IN SOL, KING","WE",,,
"BOGEMO",,"meaning unknown","WE",,,
"BOGPA","boh-geh-pah","to govern","EMPM",,,58
"BOGPA",,"reigns","WE",,,
"BOGPA",,"reigns","WE",,,
"BOLP",,"be thou","WE",,,
"BONEFON",,"ANGEL OF SOL IN MARS","WE",,,
"BOOAPIS",,"SERVE, LET HER SERVE THEMBORMILA ANGEL VENUS IN SATURN","WE",,,
"BORNOGO",,"ANGEL OF SOL IN VENUS, PRINCE","WE",,,
"BOZA",,"Kerubic Angel AIR OF EARTH","WE",,,
"BPSAC",,"Kerubic Archangel EARTH OF FIRE","WE",,,
"BRAGIOP",,"ANGEL LUNA IN MARS","WE",,,
"BRALGES",,"ANGEL LUNA IN SATURN, PRINCE","WE",,,
"BRANGLO",,"ANGEL SATURN IN SOL","WE",,,
"BRANSG",,"guard","WE",,,
"BRAP",,"Servient Angel WATER OF FIRE","WE",,,
"BRASGES",,"VAR OF BRALGES","WE",,,
"BRGDA",,"sleep","WE",,,
"BRGDO","bar-geh-doh","sleep","EMPM",,,147
"BRIAP",,"Servient Angel WATER OF FIRE","WE",,,
"BRIN",,"have","WE",,,
"BRIN",,"has","WE",,,
"BRIN",,"hast","WE",,,
"BRINTS",,"have","WE",,,
"BRISFLI",,"ANGEL LUNA IN SOL","WE",,,
"BRISFOG",,"with the eclipse","WE","Liber Loagaeth",,
"BRITA",,"talk, I have talked of you","WE",,,
"BRORGES",,"ANGEL SATURN IN MERCURY,PRINCE","WE",,,
"BUSCNAB",,"ANGEL OF SOL IN SATURN","WE",,,
"BUSD",,"glory, in glory","WE",,,
"BUSD",,"glory, in the glory","WE",,,
"BUSDIR",,"glory, the","WE",,,
"BUSDIR",,"glory, that the glory","WE",,,
"BUSDUNA",,"ANGEL OF MARS IN LUNA","WE",,,
"BUTMON",,"mouth, has opened his mouth","WE",,,
"BUTMONA",,"mouth, of his mouth","WE",,,
"BUTMONI",,"mouth, from their mouths","WE",,,
"BUTMONO",,"ANGEL JUPITER IN MARS, PRINCE","WE",,,
"BUZD","buh-zod-deh","glory","EMPM",,,82
"BUZD","buh-zod-deh","glory","EMPM",,,88
"BVRISE",,"glorious cry, infinite wail","WE","Liber Loagaeth",,
"BYAPAOL",,"2ND MINISTER OF BRORGES","WE",,,
"BYAPARE",,"2ND MINISTER OF SATURN","WE",,,
"BYNEPOR",,"ANGEL JUPITER IN JUPITER,KING","WE",,,
"BZIZA",,"Kerubic Archangel FIRE OF FIREC Veh (C or K)","WE",,,
"C",,"of, unto,on, with; o,oh","WE",,,
"CA",,"therefore","WE",,,
"CA",,"therefor","WE",,,
"CA",,"another","WE",,,
"CAB",,"a rod","WE",,,
"CABA",,"govern, to; (see 'cab')","WE",,,
"CACACOM",,"flourish","WE",,,
"CACARG",,"until","WE",,,
"CACRG",,"until","WE",,,
"CADAAMP",,"Zodiacal King SAGITTARIUS","WE",,,
"CAF",,"abides","WE","Liber Loagaeth",,
"CAFAFAM",,"abiding, var of casasam","WE",,,
"CALZ",,"firmaments, above the","WE",,,
"CALZIRG",,"PART IN LIN","WE",,,
"CAM",,"speaking","WE","Liber Loagaeth",,
"CAMASCHETH",,"meaning unknown","WE",,,
"CAMIKAS",,"meaning unknown","WE",,,
"CAMLIAX",,"spoke (p.t. of ""speak"")","WE",,,
"CANAL",,"workers, continual workmen","WE",,,
"CANSE",,"mighty","WE",,,
"CAOSG",,"earth, the","WE",,,
"CAOSG",,"earth, on the","WE",,,
"CAOSG",,"earth, the","WE",,,
"CAOSGA",,"earth, the","WE",,,
"CAOSGI",,"earth, the","WE",,,
"CAOSGI",,"earth, than the","WE",,,
"CAOSGIN",,"earth, var of caosg","WE",,,
"CAOSGO",,"earth, of the","WE",,,
"CAOSGON",,"earth, to the earth","WE",,,
"CAPH",,"in turn","WE","Liber Loagaeth",,
"CAPIMALI",,"successively","WE",,,
"CAPIMAO",,"time, while","WE",,,
"CAPIMAON",,"time, the number of","WE",,,
"CAPMIALI",,"successively (alt.sp.)","WE",,,
"CAPPO",,"therefore the Sons of God","WE","Liber Loagaeth",,
"CARBAF",,"sink","WE",,,
"CARMA",,"come out","WE",,,
"CARMARA",,"KING OF HEPTARCHY","WE",,,
"CARNAT",,"invoke the Lord","WE","Liber Loagaeth",,
"CAS",,"who is","WE","Liber Loagaeth",,
"CASARM",,"whom, to whom","WE",,,
"CASARM",,"whom, unto whomCASARMA whom","WE",,,
"CASARMAN",,"whom, of whom","WE",,,
"CASARMAN",,"whom, under whose","WE",,,
"CASARMG",,"whom, in whom","WE",,,
"CASARMI",,"whom, under whom","WE",,,
"CASASAM",,"abiding, their","WE",,,
"CELPADMAN",,"meaning unknown","WE",,,
"CEM",,"of the nine; unto the nine; with the nine","WE","Liber Loagaeth",,
"CEPH",,"ENOCHIAN LETTER Z","WE",,,
"CHE",,"of the Son of Light","WE","Liber Loagaeth",,
"CHIALPS",,"PART IN NIA","WE",,,
"CHIEUAK",,"Being with Vaa","WE","Liber Loagaeth",,
"CHIIS",,"are they","WE",,,
"CHILDAO",,"diamond, with","WE",,,
"CHILDAO",,"diamonds","WE",,,
"CHIRLAN",,"rejoices","WE",,,
