"word","meaning","source","note"
"ASMT","Kerubic Angel FIRE OF EARTH",,
"ASP","21ST AETHYR",,
"ASPAH","the infinity within","Liber Loagaeth",
"ASPIAN","QUALITIES, IN THEIR QUALITIES",,
"ASPIAON","PART IN DEO",,
"ASPT","before",,
"ASTEL","meaning unknown",,
"ASTO","was also this","Liber Loagaeth",
"ASTRAPHOS","(was) reflected in the East on the ecliptic","Liber Loagaeth",
"ATAPA","Sephirotic Cross FIRE OF WATER",,
"ATH","DAUGHTER OF DAUGHTER OF LIGHT",,
"ATRAAH","girdles, your girdles",,
"AU","Shortened name of Ave, Son of Son of Light","Liber Loagaeth",
"AUDCAL","gold, philosophical mercury",,
"AUDROPL","governor",,
"AVABH","hiacynth, of hiacynth",,
"AVAVAGO","thunders of increase",,
"AVAVAGO","thunders, the thunders",,
"AVAVOX","pomp, his pomp",,
"AVDROPT","PART IN TAN",,
"AVE","SON OF SON OF LIGHT, SOL",,
"AVINY","millstones",,
"AVTOTAR","Senior MERCURY of AIR",,
"AVZNILN","2ND MINISTER OF LUNA",,
"AX","surround","Liber Loagaeth",
"AXA","surround the one","Liber Loagaeth",
"AXE","Surrounds the Daughter of Light","Liber Loagaeth",
"AXIR","Servient Angel EARTH OF EARTH",,
"AXO","microcosm","Liber Loagaeth",
"AXOL","the glory of God’s creation","Liber Loagaeth",
"AXTIR","Servient Angel EARTH OF EARTH",,
"AXZIARG","PART IN PAZ",,
"AZDOBN","DAUGHTER OF LIGHT",,
"AZIAGIER","harvest, like unto the harvest",,
"AZIAZIOR","likeness, in the likeness",,
"AZIEN","hands, on whose hands",,
"B","Pa (B)",,
"BAB","power, ability, possibility",,
"BABAGE","south, in the south",,
"BABAGEN","south, of the south",,
"BABALEL","angel of mars in mars, king",,
"BABALON","wicked, the wicked",,
"BABALOND","harlot, a",,
"BABALUN","BABALON","Holy Table of Practice perimeter",
"BABAPON","6TH MINISTER OF BRORGES",,
"BABEPEN","6TH MINISTER OF SATURN",,
"BABLIBO","ANGEL OF SOL IN LUNA",,
"BAEOVIB","righteousness",,
"BAG","28TH AETHYR",,
"BAGENOL","ANGEL VENUS IN LUNA, PRINCE",,
"BAGIE","fury, of fury",,
"BAGLE","for",,
"BAGLE","for why?",,
"BAGLE","because",,
"BAGLE","why?",,
"BAGLE","for",,
"BAGLE","why?",,
"BAGLE","because",,
"BAGLEN","because",,
"BAGNOLE","angel venus in sol",,
"BAHAL","cry aloud",,
"BAI","stooping, soaring down",,
"BALCEOR","ANGEL SATURN IN JUPITER",,
"BALDAGO","ANGEL JUPITER IN MERCURY",,
"BALIGON","ANGEL VENUS IN VENUS, KING",,
"BALIT","justice, the just",,
"BALT","justice",,
"BALT","justice, of justice",,
"BALTAN","justice, in his justice",,
"BALTIM","justice, fury or extreme justi",,
"BALTOH","righteousness, of righteousnes",,
"BALTOH","righteousness, of",,
"BALTOHA","righteousness, for my own",,
"BALYE","salt, of salt",,
"BALZARG","stewards",,
"BALZIZRAS","judgement, the",,
"BAM","forgotten (schuler)",,
"BAMASAN","NAME OF A GUARDIAN ANGEL",,
"BAMNODE","ANGEL SATURN IN LUNA",,
"BAMS","forget, let them forgetBANAA Kerubic Archangel WATER OF FIRE",,
"BANZES","generation","Liber Loagaeth",
"BANSSZE","1ST MINISTER OF SATURN",,
"BAPNIDO","ANGEL OF MARS IN VENUS",,
"BAR","prince","Holy Table of Practice perimeter",
"BARCES","NAME OF HAGONEL'S SEAL",,
"BARFORT","ANGEL MERCURY IN LUNA",,
"BARIGES","ANGEL OF SOL IN MERCURY",,
"BARMA","NAME OF A DEMON",,
"BARMAN","NAME OF A DEMON",,
"BARNAFA","ANGEL OF SOL IN JUPITER",,
"BARTIRO","ANGEL JUPITER IN SATURN",,
"BASGIM","day",,
"BASLEDF","ANGEL LUNA IN VENUS",,
"BASMELO","ANGEL JUPITER IN SOL",,
"BASP","substantial",,
"BASP","substantial","Holy Table of Practice perimeter",
"BASPALO","ANGEL LUNA IN MERCURY",,
"BATAIVA","KING OF AIR TABLET (VAR)",,
"BATAIVAH","KING OF AIR TABLET",,
"BATAIVH","KING OF AIR TABLET (VAR)",,
"BAZCHIM","PART IN DES",,
"BAZM","midday, noon",,
"BAZME","midday, the",,
"BAZPAMA","ANGEL MERCURY IN MARS",,
"BBAIGAO","2ND MINISTER OF JUPITER",,
"BBALPAE","3RD MINISTER OF JUPITER",,
"BBANIFG","4TH MINISTER OF JUPITER",,
"BBARNFL","1ST MINISTER OF JUPITER",,
"BBASNOD","6TH MINISTER OF JUPITER",,
"BBOSNIA","5TH MINISTER OF JUPITER",,
"BBOSNIA","5TH MINISTER OF JUPITER",,
"BDOPA","Kerubic Archangel AIR OF FIRE",,
"BEFAFES","ANGEL OF MARS IN SOL,PRINCE",,
"BEFES","VOCATIVE CASE OF BEFAFES",,
"BEIGIA","SON OF LIGHT, MERCURY OR SATUR",,
"BELMAGEL","KELLY'S EVIL ANGEL",,
"BELMARA","ANGEL LUNA IN JUPITER",,
"BEN","ANGEL WHO APPEARED TO D. & K.",,
"BENPAGI","ANGEL VENUS IN JUPITER",,
"BERIANU","unknown",,
"BERMALE","ANGEL VENUS IN MARS",,
"BERNOLE","ANGEL MERCURY IN SOL",,
"BESGEME","ANGEL JUPITER IN VENUS",,
"BEVEGJAH","Coagula; gathering all, gathering the ALL","Liber Loagaeth",
"BIA","voices, yourBIAB stand",,
"BIAL","VOICE, THE VOICE",,
"BIEN","VOICE, MY VOICE",,
"BYAPAOL","2ND MINISTER OF BRORGES",,
"BYAPARE","2ND MINISTER OF SATURN",,
"BIGLIAD","comforter, in our",,
"BYNEPOR","ANGEL JUPITER IN JUPITER,KING",,
"BINODAB","ANGEL VENUS IN MERCURY",,
"BINOFON","ANGEL OF MARS IN MERCURY",,
"BITOM","FIRE NAME, TABLET OF UNION",,
"BLANS","harbored, are",,
"BLBOPOO","5TH MINISTER OF SATURN",,
"BLIAR","comfort, var. of ""blior""",,
"BLIARD","comfort, with",,
"BLIIGAN","ANGEL MERCURY IN SATURN",,
"BLINGEF","ANGEL JUPITER IN LUNA",,
"BLINTOM","ANGEL SATURN IN MARS",,
"BLIOR","comfort, continual comforters",,
"BLIOR","comfort",,
"BLIORAX","comfort, shall comfort",,
"BLIORB","comfort, of comfort",,
"BLIORS","comfort, of",,
"BLIORS","comfort, to our comfort",,
"BLIORT","comfort, of",,
"BLISDON","ANGEL MERCURY IN JUPITER",,
"BLLOLOL","FIFTH MINISTER OF BRORGES",,
"BLUMAPO","ANGEL MERCURY IN VENUS",,
"BLUMAZA","ANGEL LUNA IN LUNA, KING",,
"BMAMGAL","ANGEL SATURN IN VENUS",,
"BMILGES","ANGEL OF MARS IN JUPITER",,
"BMINPOL","ANGEL OF MARS IN SATURN",,
"BNAMGEN","3RD MINISTER OF SATURN",,
"BNANGEL","3RD MINISTER OF BRORGES",,
"BNAPSEN","ANGEL SATURN IN SATURN, KING",,
"BNASPOL","ANGEL MERCURY IN MERCURY, KING",,
"BNG","guardian",,
"BNG","guardian","Holy Table of Practice perimeter",
"BNVAGES","4TH MINISTER OF SATURN",,
"BNVIGER","4TH MINISTER OF BRORGES",,
"BOBOGEL","ANGEL OF SOL IN SOL, KING",,
"BOGEMO","meaning unknown",,
"BOGPA","reigns",,
"BOGPA","reigns",,
"BOLP","be thou",,
"BONEFON","ANGEL OF SOL IN MARS",,
"BOOAPIS","SERVE, LET HER SERVE THEMBORMILA ANGEL VENUS IN SATURN",,
"BORNOGO","ANGEL OF SOL IN VENUS, PRINCE",,
"BOZA","Kerubic Angel AIR OF EARTH",,
"BPSAC","Kerubic Archangel EARTH OF FIRE",,
"BRAGIOP","ANGEL LUNA IN MARS",,
"BRALGES","ANGEL LUNA IN SATURN, PRINCE",,
"BRANGLO","ANGEL SATURN IN SOL",,
"BRANSG","guard",,
"BRAP","Servient Angel WATER OF FIRE",,
"BRASGES","VAR OF BRALGES",,
"BRGDA","sleep",,
"BRIAP","Servient Angel WATER OF FIRE",,
"BRIN","have",,
"BRIN","has",,
"BRIN","hast",,
"BRINTS","have",,
"BRISFLI","ANGEL LUNA IN SOL",,
"BRISFOG","with the eclipse","Liber Loagaeth",
"BRITA","talk, I have talked of you",,
"BRORGES","ANGEL SATURN IN MERCURY,PRINCE",,
"BVRISE","glorious cry, infinite wail","Liber Loagaeth",
"BUSCNAB","ANGEL OF SOL IN SATURN",,
"BUSD","glory, in glory",,
"BUSD","glory, in the glory",,
"BUSDIR","glory, the",,
"BUSDIR","glory, that the glory",,
"BUSDUNA","ANGEL OF MARS IN LUNA",,
"BUTMON","mouth, has opened his mouth",,
"BUTMONA","mouth, of his mouth",,
"BUTMONI","mouth, from their mouths",,
"BUTMONO","ANGEL JUPITER IN MARS, PRINCE",,
"BZIZA","Kerubic Archangel FIRE OF FIREC Veh (C or K)",,
"C","of, unto,on, with; o,oh",,
"CA","therefore",,
"CA","therefor",,
"CA","another",,
"CAB","a rod",,
"CABA","govern, to; (see 'cab')",,
"CACACOM","flourish",,
"CACARG","until",,
"CACRG","until",,
"CADAAMP","Zodiacal King SAGITTARIUS",,
"CAF","abides","Liber Loagaeth",
"CAFAFAM","abiding, var of casasam",,
"CALZ","firmaments, above the",,
"CALZIRG","PART IN LIN",,
"CAM","speaking","Liber Loagaeth",
"CAMASCHETH","meaning unknown",,
"CAMIKAS","meaning unknown",,
"CAMLIAX","spoke (p.t. of ""speak"")",,
"CANAL","workers, continual workmen",,
"CANSE","mighty",,
"CAOSG","earth, the",,
"CAOSG","earth, on the",,
"CAOSG","earth, the",,
"CAOSGA","earth, the",,
"CAOSGI","earth, the",,
"CAOSGI","earth, than the",,
"CAOSGIN","earth, var of caosg",,
"CAOSGO","earth, of the",,
"CAOSGON","earth, to the earth",,
"CAPH","in turn","Liber Loagaeth",
"CAPIMALI","successively",,
"CAPIMAO","time, while",,
"CAPIMAON","time, the number of",,
"CAPMIALI","successively (alt.sp.)",,
"KAPENE","Therefore, the house is holy","Liber Loagaeth",
"CAPPO","therefore the Sons of God","Liber Loagaeth",
"CARBAF","sink",,
"CARMA","come out",,
"CARMARA","KING OF HEPTARCHY",,
"CARNAT","invoke the Lord","Liber Loagaeth",
"CAS","who is","Liber Loagaeth",
"CASARM","whom, to whom",,
"CASARM","whom, unto whomCASARMA whom",,
"CASARMAN","whom, of whom",,
"CASARMAN","whom, under whose",,
"CASARMG","whom, in whom",,
"CASARMI","whom, under whom",,
"CASASAM","abiding, their",,
"CELPADMAN","meaning unknown",,
"CEM","of the nine; unto the nine; with the nine","Liber Loagaeth",
"CEPH","ENOCHIAN LETTER Z",,
"CHE","of the Son of Light","Liber Loagaeth",
"CHIALPS","PART IN NIA",,
"CHIEUAK","Being with Vaa","Liber Loagaeth",
"CHIIS","are they",,
"CHILDAO","diamonds",,
"CHIRLAN","rejoices",,
"CHIRZPA","PART IN ASP",,
"CHIS","are",,
"CHISO","are, shall be",,
"CHR","TWENTIETH AETHYR",,
"CHRAMSA","meaning unknown",,
"CHRISTEOS","let there be",,
"CIAI","9996",,
"CIAOFI","terror, to the terror of",,
"CICLE","mysteries, the",,
"CICLES","mysteries, of your mysteries",,
"CINXIR","mingled",,
"CLA","456",,
"CNILA","blood, of",,
"CNOQOD","servants, his",,
"CNOQUODI","servants, with the ministers",,
"CNOQUOL","servants, o you",,
"COAZIOR","increase",,
"COCASB","times",,
"COCASB","time",,
"COCASB","time, of",,
"COCASB","time, the",,
"COLLAL","sleeves",,
"COMANAN","PART IN ZAX",,
"COMMAH","trussed you together",,
"COMO","window, a",,
"COMSELH","circle, a",,
"CONGAMPHLGH","MAN'S SPIRIT; THE HOLY GHOST; 212",,
"CONISBRA","work of man, the",,
"CONST","thunders, the",,
"COR","number",,
"CORABIEL","angel of mercury ???",,
"CORAXO","thunders of judgment & wrath",,
"CORAXO","thunders",,
"CORD","made",,
"CORDZIZ","man",,
"CORDZIZ","men, reasoning creatures",,
"CORFAX","name of a guardian angel",,
"CORMF","number",,
"CORMFA","numbers",,
"CORMP","numbered",,
"CORMPO","number, have numbered",,
"CORMPT","number, be numbered",,
"CORONZON","demon",,
"CORS","such, work",,
"CORSI","such, of such as",,
"CRALPIR","PART IN ZIP",,
"CRAMSA","beginning with 9 in the 4th","Liber Loagaeth",
"CRIP","but",,
"CROODZI","beginning, 2nd beginning of the",,
"CRP","but (alt.sp.)",,
"CRUSCANSE","more mighty",,
"CUCARPT","PART IN LEA",,
"CURES","here (?)",,
"CZNS","Servient Angel AIR OF AIR",,
"CZONS","Servient Angel AIR OF AIR (VAR)",,
"D","Gal (D)",,
"D","third, the third",,
"DA","there",,
"DABIN","(manifested word of God) Logos","Liber Loagaeth",
"NAD","the Holy Spirit","Liber Loagaeth",
"DAH","thrice","Liber Loagaeth",
"DALTT","Servient Angel EARTH OF FIRE",,
"DALPH","among the first to give","Liber Loagaeth",
"DAM","several","Liber Loagaeth",
"DAMO","several men","Liber Loagaeth",
"DAMPH","various","Liber Loagaeth",
"DAMPLOZ","variety",,
"DAN","3 in 1","Liber Loagaeth",
"DANPHA","the three are One","Liber Loagaeth",
"DANZAN","universal law","Liber Loagaeth",
"DAOX","5678",,
"DAPH","Speaking from there","Liber Loagaeth",
"DAPI","Servient Angel FIRE OF WATER",,
"DAR","The Philosopher’s Stone","Liber Loagaeth",
"DARBS","obey",,
"DARG","6739",,
"DARR","THE PHILOSOPHER'S STONE",,
"DARSAR","wherefore",,
"DASCH","a thousand angels of God","Liber Loagaeth",
"DASMAT","a thousand angels","Liber Loagaeth",
"DASPI","Servient Angel FIRE OF WATER",,
"DATT","Servient Angel EARTH OF FIRE",,
"DAVEZ","there unto them","Liber Loagaeth",
"DAX","loins",,
"DAXIL","loins, thy",,
"DAXZUM","seed","Liber Loagaeth",
"DAZIZ","heads, the",,
"DAZIZ","heads, their",,
"DE","of",,
"DEDVILH","meaning unknown",,
"DEF","visiting","Liber Loagaeth",
"DEGEL","not of the first","Liber Loagaeth",
"DEM","separate","Liber Loagaeth",
"DEMPHE","separate unto the Daughter of Light","Liber Loagaeth",
"DEO","SEVENTH AETHYR",,
"DES","26TH AETHYR",,
"DEX","of the One","Liber Loagaeth",
"DIAL","A GOD-NAME OF EARTH TABLET",,
"DIALIOAI","PART IN ARNDIARI Servient Angel WATER OF AIR",,
"DILZMO","differ, let them differ",,
"DIOM","Servient Angel EARTH OF FIRE",,
"DIRI","Servient Angel WATER OF AIR",,
"DIU","angle",,
"DIV","angle",,
"DIV","angle",,
"DINOXA","3 paths","Liber Loagaeth",
"DIXOM","Servient Angel EARTH OF FIRE",,
"DLASOD","ALCHEMICAL SULPHUR",,
"DLUGA","give, giving",,
"DLUGAM","given, p.t. ""to give""",,
"DLUGAM","give, given",,
"DLUGAR","give, gave them",,
"DLUGAR","give, giving unto them",,
"DMAL","SON OF LIGHT, JUPITER OR MARS",,
"ONIXDAR","Proclaiming","Liber Loagaeth",
"DO","Root of Don (R), which is the root of the word for 'Hell Fire' and the word for 'Sun of God'","Holy Table of Practice perimeter",
"DOAGNIS","PART IN ARN",,
"DOALIM","SIN, OF SIN",,
"DOANZIN","PART IN ZIP",,
"DOBIX","FALL",,
"DOCEPAX","PART IN ZIM",,
"DODPAL","VEX, LET THEM VEX",,
"DODRMNI","VEX, VEXED",,
"DODS","VEX, VEXING",,
"DODSIH","VEX, VEXATION",,
"DOH","holy fire","Liber Loagaeth",
"DOLOP","Servient Angel EARTH OF EARTH",,
"DOMIOL","Making the Lord to Understanding","Liber Loagaeth",
"DON","ENOCHIAN LETTER R",,
"DONASDOGAMA","TASTOS HELL-FIRE",,
"DONKNA","Sun of God","Liber Loagaeth",
"DONGLSES","the Daughter of Light pines for the Sun of God","Liber Loagaeth",
"DONITON","the Sun of God is begotten","Liber Loagaeth",
"DONLA","primordial fire","Liber Loagaeth",
"DONS","the Sun of God to the 4 th","Liber Loagaeth",
"DOOAIN","NAME",,
"DOOAIN","NAME, HIS",,
"DOOAIO","NAME, IN THE NAME OF (ALT.SP)",,
"DOOIAP","NAME, IN THE NAME OF",,
"DOOP","Servient Angel EARTH OF EARTH",,
"DOPA","Kerubic Angel AIR OF FIRE",,
"DORPHA","LOOK, LOOKED ABOUT ME",,
"DORPHAL","LOOK, LOOKING WITH GLADNESS",,
"DOSCH","of the night","Liber Loagaeth",
"DOSIG","NIGHT",,
"DOX","the sacrificial fire","Liber Loagaeth",
"DOXMAEL","PART IN TEX",,
"DRAMAH","the (third) East is in darkness","Liber Loagaeth",
"DRILPA","GREAT",,
"DRILPA","GREAT",,
"DRILPI","GREATER (LARGER?)",,
"DRINOX","invoke the Hexagram of dissolution","Liber Loagaeth",
"DRIX","BRING DOWN",,
"DROES","at any quarter","Liber Loagaeth",
"DROLN","ANY, AT ANY",,
"DROXAD","any part of the third","Liber Loagaeth",
"DRVLTHE","The angel of the East is seated with the Daughter of Light","Liber Loagaeth",
"DRUN","ENOCHIAN LETTER N",,
"DRUX","ENOCHIAN LETTER N",,
"DRUXARH","the Angel of the East is among the third","Liber Loagaeth",
"DS","WHICH",,
"DS","AND",,
"DS","THAT",,
"DST","WHICH (alt.sp.)",,
"DVXMA","the body of God","Liber Loagaeth",
"DVN","the body of God","Liber Loagaeth",
"E","Graph (E)",,
"E","DAUGHTER OF LIGHT",,
"EAI","AMONG, VAR OF 'AAI'",,
"EBAO","aethyr","Lamen",
"ECAOP","Servient Angel WATER OF FIRE",,
"ECOP","Servient Angel WATER OF FIRE",,
"ECRIN","PRAISE, THE",,
"EDLPRNA","KING OF FIRE TABLET (VAR)",,
"EDLPRNAA","ELEMENTAL KING OF FIRE TABLET",,
"EDNAS","RECEIVE, AS RECEIVERS",,
"EF","VISIT US",,
"EFAFAFE","VIALS, YOUR VIOLS",,
"EFAFAFE","VIALS (?VIOLS)",,
"EFE","MEANING UNKNOWN",,
"EILOMFO","1ST MINISTER OF MARS",,
"EKIEI","DAUGHTER OF DAUGHTER OF LIGHT",,
"EG","holy","Holy Table of Practice perimeter",
"EGO","HOLY, THE","Lamen",
"EL","FIRST, THE",,
"EL","SON OF SON OF LIGHT, VENUS",,
"ELGNSEB","1ST MINISTER OF MERCURY",,
"ELA","FIRST",,
"ELO","FIRST",,
"ELZAP","COURSE, THE COURSE",,
"ELZAP","COURSE, COURSES",,
"EM","NINE",,
"EMETGIS","SEAL, THE",,
"EMNA","HERE",,
"EMOD","876",,
"ENAY","LORD, THE",,
"EO","make, making, ‘I made you’","Holy Table of Practice perimeter",
"EOAN","making","Table of 12",
"EOAN","‘making’, ‘the Sons of the Son of Light’","Holy Table of Practice perimeter",
"EOGA","THE PLACE (Schuler)",,
"EOL","MAKE, I MADE YOU",,
"EOLIS","MAKE, MAKING",,
"EOO","Archetypal man, makes or making man","Table of 12",
"EOPHAN","LAMENTATION, OF",,
"EORS","HUNDRED, WITH AN",,
"ERAN","6332",,
"ERGDBAB","6TH MINISTER OF MERCURY",,
"ERM","ARK, WITH THE",,
"ERZLA","Kerubic Archangel AIR OF AIR",,
"ES","FOURTHESE DAUGHTER OF LIGHT",,
"ESEMELI","DAUGHTER OF DAUGHTER OF LIGHT",,
"ESIASCH","BROTHERS, THE",,
"ETAAD","Kerubic Archangel AIR OF WATER",,
"ETDIM","Kerubic Archangel WATER OF",,
